date,close,Market_Return,CPI_YoY,M2_YoY,Liquidity_Diff,log_ret,volatility,liquidity_z,hidden_state
2020-02-07,3899.869,2.4103954715304358e-05,1.4,8.8,7.4,2.4103664219655947e-05,0.022443336993684275,-1.0987544845537607,1
2020-02-10,3916.005,0.0041375748775152,1.4,8.8,7.4,0.004129038652660548,0.022500871862571797,-1.0987544845537607,1
2020-02-11,3952.464,0.0093102536896658,1.4,8.8,7.4,0.009267180420094315,0.0226607578248795,-1.0987544845537607,1
2020-02-12,3984.433,0.0080883722154079,1.4,8.8,7.4,0.0080558366549316,0.022674431675355728,-1.0987544845537607,1
2020-02-13,3959.919,-0.0061524437730537,1.4,8.8,7.4,-0.006171448043811627,0.022588175221729956,-1.0987544845537607,1
2020-02-14,3987.734,0.0070241335744494,1.4,8.8,7.4,0.006999579263002864,0.022434046486870418,-1.0987544845537607,1
2020-02-17,4077.424,0.0224914700930403,1.4,8.8,7.4,0.022242266692727816,0.02308946268040488,-1.0987544845537607,1
2020-02-18,4057.511,-0.0048837207020903,1.4,8.8,7.4,-0.004895685035575056,0.022961024550561246,-1.0987544845537607,1
2020-02-19,4051.311,-0.0015280303614703,1.4,8.8,7.4,-0.001529198990481886,0.02295801438121219,-1.0987544845537607,1
2020-02-20,4144.656,0.0230406897915267,1.4,8.8,7.4,0.022779261145765704,0.023572595223628076,-1.0987544845537607,1
2020-02-21,4149.49,0.0011663211615149,1.4,8.8,7.4,0.0011656415373777192,0.023555470530277765,-1.0987544845537607,1
2020-02-24,4132.839,-0.0040127822937275,1.4,8.8,7.4,-0.004020855108130971,0.0235697645570396,-1.0987544845537607,1
2020-02-25,4123.854,-0.0021740503319872,1.4,8.8,7.4,-0.0021764170102174935,0.023502508128324953,-1.0987544845537607,1
2020-02-26,4073.015,-0.0123280310117672,1.4,8.8,7.4,-0.012404651557612945,0.02334849079861396,-1.0987544845537607,1
2020-02-27,4084.876,0.0029120933755462,1.4,8.8,7.4,0.0029078614454918915,0.023335771117948555,-1.0987544845537607,1
2020-02-28,3940.049,-0.0354544421911461,1.4,8.8,7.4,-0.03609821311335231,0.023678330746059243,-1.0987544845537607,1
2020-03-02,4069.666,0.0328973066071005,0.8,10.1,9.3,0.03236777242428254,0.015374056002277285,-0.0699732139120999,1
2020-03-03,4091.362,0.0053311500255794,0.8,10.1,9.3,0.005316989750022409,0.014552566290091358,-0.0699732139120999,1
2020-03-04,4115.052,0.0057902478441163,0.8,10.1,9.3,0.005773548789171297,0.014457433264163237,-0.0699732139120999,1
2020-03-05,4206.725,0.0222774827632799,0.8,10.1,9.3,0.022032964482575728,0.014672224129976933,-0.0699732139120999,1
2020-03-06,4138.507,-0.0162164153825127,0.8,10.1,9.3,-0.016349340450807406,0.015335132125144127,-0.0699732139120999,1
2020-03-09,3997.133,-0.0341606284585237,0.8,10.1,9.3,-0.034757740644172794,0.017493696060985692,-0.0699732139120999,1
2020-03-10,4082.732,0.0214150992724035,0.8,10.1,9.3,0.021189018040099494,0.01798552024194817,-0.0699732139120999,1
2020-03-11,4028.429,-0.0133006526022281,0.8,10.1,9.3,-0.013389898518067397,0.01821947948712117,-0.0699732139120999,1
2020-03-12,3950.911,-0.0192427370570512,0.8,10.1,9.3,-0.019430288421094916,0.018711464053719016,-0.0699732139120999,1
2020-03-13,3895.313,-0.0140721975260895,0.8,10.1,9.3,-0.014172149703502992,0.018885919075553446,-0.0699732139120999,1
2020-03-16,3727.84,-0.042993464196587,0.8,10.1,9.3,-0.043945058081852534,0.020312154822797433,-0.0699732139120999,1
2020-03-17,3709.682,-0.0048709172067471,0.8,10.1,9.3,-0.004882818787435797,0.02031214122908242,-0.0699732139120999,1
2020-03-18,3636.257,-0.0197928016471492,0.8,10.1,9.3,-0.019991302774370612,0.020588558202058516,-0.0699732139120999,1
2020-03-19,3589.093,-0.0129704803593365,0.8,10.1,9.3,-0.01305533154538395,0.019539307575654814,-0.0699732139120999,1
2020-03-20,3653.224,0.0178683026603101,0.8,10.1,9.3,0.01771054105644333,0.02024928688652505,-0.0699732139120999,1
2020-03-23,3530.306,-0.0336464448936063,0.8,10.1,9.3,-0.034225512656000684,0.02117037179951325,-0.0699732139120999,1
2020-03-24,3625.115,0.0268557456492439,0.8,10.1,9.3,0.02650145920073134,0.02250600361024554,-0.0699732139120999,1
2020-03-25,3722.518,0.0268689407094673,0.8,10.1,9.3,0.026514309083007354,0.023618632783837867,-0.0699732139120999,1
2020-03-26,3698.047,-0.0065737761375499,0.8,10.1,9.3,-0.006595478567467344,0.023557288957314994,-0.0699732139120999,1
2020-03-27,3710.061,0.0032487418358935,0.8,10.1,9.3,0.0032434760757832433,0.02243753778464632,-0.0699732139120999,1
2020-03-30,3674.111,-0.0096898676329042,0.8,10.1,9.3,-0.009737119893473516,0.0208638158728464,-0.0699732139120999,1
2020-03-31,3686.155,0.0032780718927654,0.8,10.1,9.3,0.003272710728092201,0.020814982010541314,-0.0699732139120999,1
2020-04-01,3675.076,-0.0030055708455016,-1.2,11.1,12.3,-0.003010096644236014,0.02066304491493516,1.5544182660484167,2
2020-04-02,3734.531,0.0161778967292105,-1.2,11.1,12.3,0.016048429034829618,0.02028079876199682,1.5544182660484167,0
2020-04-03,3713.218,-0.0057070084570191,-1.2,11.1,12.3,-0.00572335565518513,0.020132757759375886,1.5544182660484167,2
2020-04-07,3798.021,0.022838142010515,-1.2,11.1,12.3,0.02258125549799716,0.019815487883662445,1.5544182660484167,0
2020-04-08,3780.345,-0.0046540027029867,-1.2,11.1,12.3,-0.004664866292788807,0.019012013963895416,1.5544182660484167,2
2020-04-09,3792.811,0.0032975826280405,-1.2,11.1,12.3,0.00329215752565683,0.01893712789387712,1.5544182660484167,0
2020-04-10,3769.178,-0.0062309985918096,-1.2,11.1,12.3,-0.006250492282495496,0.018561366224094194,1.5544182660484167,2
2020-04-13,3753.257,-0.0042239979114808,-1.2,11.1,12.3,-0.00423294419226094,0.018360274010434538,1.5544182660484167,0
2020-04-14,3825.699,0.0193011030153278,-1.2,11.1,12.3,0.019117199321859242,0.01601746886987431,1.5544182660484167,2
2020-04-15,3797.362,-0.0074070124178614,-1.2,11.1,12.3,-0.007434580550368017,0.016079317454031218,1.5544182660484167,0
2020-04-16,3802.381,0.0013217070166078,-1.2,11.1,12.3,0.0013208343307609927,0.015290073281574777,1.5544182660484167,2
2020-04-17,3839.487,0.00975862229482,-1.2,11.1,12.3,0.009711314464115777,0.014935277743213416,1.5544182660484167,0
2020-04-20,3853.455,0.0036379860121937,-1.2,11.1,12.3,0.0036313845469290265,0.014550726554090405,1.5544182660484167,2
2020-04-21,3808.047,-0.0117837109814439,-1.2,11.1,12.3,-0.01185368918219827,0.012242016286156827,1.5544182660484167,0
2020-04-22,3839.383,0.0082288900320819,-1.2,11.1,12.3,0.008195217316430149,0.01108386042079172,1.5544182660484167,2
2020-04-23,3829.753,-0.0025082155127528,-1.2,11.1,12.3,-0.0025113663550457594,0.00963011457616313,1.5544182660484167,0
2020-04-24,3796.972,-0.0085595598462877,-1.2,11.1,12.3,-0.008596403271658573,0.009727668836734472,1.5544182660484167,2
2020-04-27,3822.769,0.0067940980339069,-1.2,11.1,12.3,0.006771122158054266,0.009796122667919032,1.5544182660484167,0
2020-04-28,3849.147,0.0069002338357353,-1.2,11.1,12.3,0.006876536172730594,0.009493132495528874,1.5544182660484167,2
2020-04-29,3867.032,0.0046464840132112,-1.2,11.1,12.3,0.004635722429178227,0.009505163741846186,1.5544182660484167,0
2020-04-30,3912.577,0.0117777665144742,-1.2,11.1,12.3,0.011708948444179856,0.009633580785479892,1.5544182660484167,2
2020-05-06,3936.254,0.0060515102961551,-0.9,11.1,12.0,0.006033273444403631,0.009176234104845912,1.3919791180523646,0
2020-05-07,3924.895,-0.0028857385727648,-0.9,11.1,12.0,-0.0028899103440137254,0.009061629788834239,1.3919791180523646,2
2020-05-08,3963.622,0.0098670155507345,-0.9,11.1,12.0,0.009818654412656141,0.007977781646799563,1.3919791180523646,0
2020-05-11,3960.18,-0.0008683976423584,-0.9,11.1,12.0,-0.0008687749180236596,0.007851675233908274,1.3919791180523646,2
2020-05-12,3960.238,1.4645798928292209e-05,-0.9,11.1,12.0,1.4645691679626245e-05,0.00786459106546587,1.3919791180523646,0
