日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-01-02,860.8,866.89,867.44,856.82,1.03,8.87,4241820,8615318784.0,1.24,1.21
2020-01-03,867.43,866.09,869.49,861.26,-0.09,-0.8,3810571,8418273536.0,0.95,1.09
2020-01-06,861.32,866.45,871.97,857.93,0.04,0.36,4182647,9445862400.0,1.62,1.2
2020-01-07,867.35,884.86,884.9,867.35,2.12,18.41,4627769,9422594816.0,2.03,1.32
2020-01-08,880.83,872.52,884.17,870.85,-1.39,-12.34,4231821,8114349568.0,1.51,1.21
2020-01-09,880.02,897.23,897.23,880.02,2.83,24.71,4816923,11767089920.0,1.97,1.38
2020-01-10,899.52,900.9,903.32,895.7,0.41,3.67,4105640,9439139584.0,0.85,1.17
2020-01-13,901.74,908.37,908.37,893.63,0.83,7.47,3903420,9069158400.0,1.64,1.12
2020-01-14,911.02,907.98,911.21,906.68,-0.04,-0.39,4138281,8680901376.0,0.5,1.18
2020-01-15,907.25,907.0,913.02,902.7,-0.11,-0.98,3967203,8526810112.0,1.14,1.14
2020-01-16,907.51,907.03,910.1,903.5,0.0,0.03,3831284,9103346432.0,0.73,1.1
2020-01-17,908.07,912.44,918.18,907.18,0.6,5.41,3774149,9582523648.0,1.21,1.08
2020-01-20,922.58,938.49,938.49,917.75,2.85,26.05,5792883,13263134720.0,2.27,1.66
2020-01-21,950.68,958.65,966.14,950.68,2.15,20.16,9052317,16555487744.0,1.65,2.59
2020-01-22,964.43,954.53,964.43,939.87,-0.43,-4.12,6880105,13687342336.0,2.56,1.97
2020-01-23,956.58,947.13,968.85,933.67,-0.78,-7.4,8348080,16996400640.0,3.69,2.39
2020-02-03,917.31,940.69,950.98,908.53,-0.68,-6.44,10399286,20557223680.0,4.48,2.98
2020-02-04,944.77,988.73,995.93,934.2,5.11,48.04,13572211,25869907968.0,6.56,3.88
2020-02-05,986.53,1038.06,1038.12,985.41,4.99,49.33,13709725,28123519232.0,5.33,3.92
2020-02-06,1040.05,1073.9,1093.84,1038.29,3.45,35.84,14187934,30986662144.0,5.35,4.06
2020-02-07,1082.83,1055.36,1096.03,1042.45,-1.73,-18.54,13305220,27009059840.0,4.99,3.81
2020-02-10,1062.34,1030.86,1062.4,1018.03,-2.32,-24.5,11836539,24453802496.0,4.2,3.39
2020-02-11,1022.71,1015.06,1023.45,1001.08,-1.53,-15.8,8911893,17441989120.0,2.17,2.55
2020-02-12,1010.27,1029.09,1030.29,1010.27,1.38,14.03,8314185,18239495680.0,1.97,2.38
2020-02-13,1032.23,1014.77,1032.23,1004.64,-1.39,-14.32,7768844,16826953216.0,2.68,2.22
2020-02-14,1019.12,1007.47,1025.52,1001.33,-0.72,-7.3,6632654,14785213184.0,2.38,1.9
2020-02-17,1015.94,1045.12,1045.12,1015.94,3.74,37.65,8351424,18858347776.0,2.9,2.39
2020-02-18,1053.43,1053.88,1055.66,1041.22,0.84,8.76,8791586,18537943552.0,1.38,2.52
2020-02-19,1046.96,1027.07,1046.96,1027.07,-2.54,-26.81,8481022,17756534784.0,1.89,2.43
2020-02-20,1026.67,1029.36,1034.72,1016.67,0.22,2.29,7089598,15471794944.0,1.76,2.03
2020-02-21,1028.01,1038.15,1042.96,1025.56,0.85,8.79,7702267,17505528320.0,1.69,2.2
2020-02-24,1047.99,1072.3,1073.14,1047.99,3.29,34.15,9447121,21558760192.0,2.42,2.7
2020-02-25,1062.33,1096.21,1098.66,1056.32,2.23,23.91,11857084,25840207616.0,3.95,3.39
2020-02-26,1085.3,1052.73,1089.71,1050.52,-3.97,-43.48,9386385,22192721408.0,3.58,2.69
2020-02-27,1054.33,1052.33,1060.85,1035.8,-0.04,-0.4,7380516,16789916160.0,2.38,2.11
2020-02-28,1037.52,1038.61,1061.08,1033.63,-1.3,-13.72,9568799,22512698368.0,2.61,2.74
2020-03-02,1052.39,1064.55,1066.87,1044.44,2.5,25.94,9663706,20729206016.0,2.16,2.77
2020-03-03,1078.61,1086.76,1098.24,1078.15,2.09,22.21,11315035,25371166976.0,1.89,3.24
2020-03-04,1080.41,1078.37,1085.98,1063.51,-0.77,-8.39,7679440,17298098688.0,2.07,2.2
2020-03-05,1089.54,1091.88,1092.21,1080.31,1.25,13.51,9135344,19945667584.0,1.1,2.61
2020-03-06,1085.5,1114.9,1117.22,1084.43,2.11,23.02,8971981,19856923136.0,3.0,2.57
2020-03-09,1117.82,1123.56,1137.29,1115.43,0.78,8.66,11269721,24692883200.0,1.96,3.22
2020-03-10,1107.78,1110.68,1116.26,1071.9,-1.15,-12.88,14728000,28107685120.0,3.95,4.21
2020-03-11,1110.38,1121.01,1139.43,1109.02,0.93,10.33,11931559,23571839744.0,2.74,3.41
2020-03-12,1124.24,1102.82,1131.18,1099.04,-1.62,-18.19,12735812,26240970240.0,2.87,3.64
2020-03-13,1037.45,1067.41,1081.02,1037.38,-3.21,-35.41,12356503,26288647168.0,3.96,3.54
2020-03-16,1078.72,1042.13,1097.44,1038.18,-2.37,-25.28,12722670,26921687040.0,5.55,3.64
2020-03-17,1039.04,1013.99,1046.11,982.39,-2.7,-28.14,9751971,20084361472.0,6.11,2.79
2020-03-18,1018.53,1000.48,1034.38,1000.48,-1.33,-13.51,9156811,19130794496.0,3.34,2.62
2020-03-19,997.49,980.19,1000.94,960.39,-2.03,-20.29,8800594,17942449408.0,4.05,2.52
2020-03-20,989.33,1007.22,1007.47,989.3,2.76,27.03,7891902,16317654016.0,1.85,2.26
2020-03-23,993.46,975.55,1012.01,973.27,-3.14,-31.67,8745253,18961404416.0,3.85,2.5
2020-03-24,988.96,986.44,993.97,957.78,1.12,10.89,7807489,16308500736.0,3.71,2.23
2020-03-25,1005.38,1031.09,1032.71,999.93,4.53,44.65,8751868,19073903872.0,3.32,2.5
2020-03-26,1031.18,1063.58,1070.2,1024.9,3.15,32.49,11946070,24244075264.0,4.39,3.42
2020-03-27,1077.39,1058.09,1081.1,1056.04,-0.52,-5.49,10753305,22737065216.0,2.36,3.08
2020-03-30,1055.42,1041.3,1072.49,1036.33,-1.59,-16.79,11535656,24612280832.0,3.42,3.3
2020-03-31,1040.26,1028.45,1042.1,1026.92,-1.23,-12.85,9394516,19893073152.0,1.46,2.69
2020-04-01,1022.64,1013.5,1031.8,1011.79,-1.45,-14.95,8393823,16955517440.0,1.95,2.4
