日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-03-01,1009.08,1042.22,1051.73,1000.18,4.22,42.22,6525671,28881651900.0,5.16,0.87
2021-03-02,1049.02,1044.48,1067.44,1025.01,0.22,2.26,6219902,32911320798.0,4.07,0.83
2021-03-03,1039.15,1047.0,1057.95,1021.05,0.24,2.52,5049633,24965150097.0,3.53,0.67
2021-03-04,1044.31,1023.64,1067.49,1014.87,-2.23,-23.36,6184630,30204459661.0,5.03,0.83
2021-03-05,1009.25,1022.05,1038.49,995.71,-0.16,-1.59,4551866,22645617450.0,4.18,0.61
2021-03-08,1028.79,993.08,1046.16,984.57,-2.83,-28.97,5494278,27233838230.0,6.03,0.73
2021-03-09,990.16,949.89,1005.73,934.98,-4.35,-43.19,6469348,26681075095.0,7.12,0.86
2021-03-10,963.36,939.78,976.12,928.78,-1.06,-10.11,4585206,19443739366.0,4.98,0.61
2021-03-11,940.81,970.72,986.87,925.96,3.29,30.94,5813848,24800646209.0,6.48,0.78
2021-03-12,970.11,950.05,978.97,940.16,-2.13,-20.67,4453674,20158102774.0,4.0,0.59
2021-03-15,940.12,918.65,949.92,907.29,-3.31,-31.4,4649898,21161662372.0,4.49,0.62
2021-03-16,923.76,922.27,939.88,905.74,0.39,3.62,4195434,17919168961.0,3.72,0.56
2021-03-17,924.12,940.92,953.96,914.12,2.02,18.65,4262997,18069939881.0,4.32,0.57
2021-03-18,945.09,930.4,953.93,921.35,-1.12,-10.52,4420075,15870606915.0,3.46,0.59
2021-03-19,917.29,930.35,947.11,908.18,-0.01,-0.05,4176654,17490733477.0,4.18,0.56
2021-03-22,929.85,936.77,948.26,918.82,0.69,6.42,3553780,14971323563.0,3.16,0.47
2021-03-23,939.37,942.16,969.27,925.47,0.58,5.39,5713136,19120886412.0,4.68,0.76
2021-03-24,933.74,918.86,945.29,909.67,-2.47,-23.3,4711182,15795350267.0,3.78,0.63
2021-03-25,914.07,919.27,936.75,903.58,0.04,0.41,3920604,14154896049.0,3.61,0.52
2021-03-26,921.37,932.18,942.23,910.38,1.4,12.91,4173332,15777744009.0,3.46,0.56
2021-03-29,937.03,934.48,956.18,923.97,0.25,2.3,4827285,17426243577.0,3.46,0.64
2021-03-30,933.21,929.5,950.77,915.63,-0.53,-4.98,4365957,16647365051.0,3.76,0.58
2021-03-31,928.08,931.24,944.24,910.74,0.19,1.74,4222848,15702701672.0,3.6,0.56
2021-04-01,935.06,960.1,976.38,926.63,3.1,28.86,7053519,27770540524.0,5.34,0.94
2021-04-02,969.0,1019.45,1033.91,965.0,6.18,59.35,11292243,42525830991.0,7.18,1.51
2021-04-06,1030.26,1020.3,1045.16,1002.66,0.08,0.85,8278735,28693694731.0,4.17,1.1
2021-04-07,1018.05,1024.75,1039.13,996.95,0.44,4.45,6762206,28408819357.0,4.13,0.9
2021-04-08,1018.38,1018.3,1047.79,1004.04,-0.63,-6.45,6243646,24704427578.0,4.27,0.83
2021-04-09,1015.8,1015.56,1038.19,999.78,-0.27,-2.74,5533062,21948873232.0,3.77,0.74
2021-04-12,1014.23,993.74,1035.0,984.06,-2.15,-21.82,5677837,26049577774.0,5.02,0.76
