日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-02-25,1009.85,988.08,1023.11,978.01,-1.19,-11.92,6652672,21125133322.0,4.51,0.81
2021-02-26,966.95,985.22,1003.4,953.31,-0.29,-2.86,6946587,23565586207.0,5.07,0.85
2021-03-01,994.43,1008.73,1024.58,982.38,2.39,23.51,6913223,25187770081.0,4.28,0.84
2021-03-02,1015.58,1004.53,1029.6,986.91,-0.42,-4.2,6921843,24116922492.0,4.23,0.84
2021-03-03,1000.33,1015.12,1026.88,982.96,1.05,10.59,10947938,27806208949.0,4.37,1.33
2021-03-04,1009.63,975.06,1025.45,963.05,-3.95,-40.06,12277950,36897229801.0,6.15,1.49
2021-03-05,958.54,975.96,991.95,946.98,0.09,0.9,8812267,27136115323.0,4.61,1.07
2021-03-08,981.82,937.74,995.36,930.73,-3.92,-38.22,10972838,34083255109.0,6.62,1.34
2021-03-09,939.64,912.28,961.92,891.07,-2.72,-25.46,11799720,31958498355.0,7.56,1.44
2021-03-10,931.82,913.46,947.19,902.68,0.13,1.18,8674803,25005775997.0,4.88,1.06
2021-03-11,913.76,938.85,951.75,898.35,2.78,25.39,8967151,24833915871.0,5.85,1.09
2021-03-12,946.75,948.71,968.99,921.82,1.05,9.86,10267408,27525669284.0,5.02,1.25
2021-03-15,944.39,920.61,960.02,903.19,-2.96,-28.1,10826193,28832767892.0,5.99,1.32
2021-03-16,923.83,926.74,949.1,903.2,0.67,6.13,10003436,21370652319.0,4.99,1.22
2021-03-17,924.77,940.85,950.84,905.77,1.52,14.11,8691390,19480558044.0,4.86,1.06
2021-03-18,941.28,943.97,965.94,923.8,0.33,3.12,9976652,23958534129.0,4.48,1.21
2021-03-19,930.37,934.11,959.68,912.36,-1.04,-9.86,9828287,24473914035.0,5.01,1.2
2021-03-22,936.26,951.29,966.99,927.33,1.84,17.18,9717485,18678811259.0,4.25,1.18
2021-03-23,951.21,927.53,959.97,915.04,-2.5,-23.76,8594966,17869567673.0,4.72,1.05
2021-03-24,922.46,909.33,937.56,898.13,-1.96,-18.2,6720703,14954139484.0,4.25,0.82
2021-03-25,902.69,903.5,922.45,883.64,-0.64,-5.83,6953654,15124190420.0,4.27,0.85
2021-03-26,907.39,930.99,946.53,900.81,3.04,27.49,8846982,24138429652.0,5.06,1.08
2021-03-29,934.41,923.31,944.57,910.57,-0.82,-7.68,7100426,17769523330.0,3.65,0.86
2021-03-30,922.01,946.71,965.31,904.56,2.53,23.4,9486666,30094538932.0,6.58,1.16
2021-03-31,943.71,936.55,956.85,923.54,-1.07,-10.16,6272356,20922283416.0,3.52,0.76
2021-04-01,937.42,944.24,965.53,925.13,0.82,7.69,6846225,19805499891.0,4.31,0.83
2021-04-02,944.73,947.0,961.48,928.96,0.29,2.76,5764196,16473390252.0,3.44,0.7
2021-04-06,950.14,964.23,980.8,937.35,1.82,17.23,9631986,22818282378.0,4.59,1.17
2021-04-07,962.58,952.1,972.83,931.65,-1.26,-12.13,9238277,20138474779.0,4.27,1.12
2021-04-08,947.38,936.6,958.66,928.28,-1.63,-15.5,6465896,14264533167.0,3.19,0.79
2021-04-09,933.31,918.95,943.6,910.83,-1.88,-17.65,5034430,14639296600.0,3.5,0.61
2021-04-12,918.48,893.14,927.49,885.82,-2.81,-25.81,5957893,15458810670.0,4.53,0.73
2021-04-13,891.45,884.2,905.05,874.06,-1.0,-8.94,4835007,12778937527.0,3.47,0.59
2021-04-14,885.82,897.5,907.62,878.66,1.5,13.3,4280430,13248282409.0,3.28,0.52
2021-04-15,893.24,891.3,904.59,874.62,-0.69,-6.2,4676222,14790084809.0,3.34,0.57
2021-04-16,890.38,899.69,910.94,874.21,0.94,8.39,5334426,15223752321.0,4.12,0.65
2021-04-19,898.67,923.82,930.48,890.93,2.68,24.13,6449924,19815263950.0,4.4,0.79
2021-04-20,924.45,939.23,962.24,914.3,1.67,15.41,7752195,25325393799.0,5.19,0.94
2021-04-21,932.21,929.69,950.45,916.68,-1.02,-9.54,5799278,19656256798.0,3.6,0.71
2021-04-22,936.51,931.52,952.56,915.64,0.2,1.83,6082938,18366741119.0,3.97,0.74
2021-04-23,930.24,942.92,958.46,919.8,1.22,11.4,6105871,19085923656.0,4.15,0.74
2021-04-26,942.54,941.62,976.81,923.1,-0.14,-1.3,7757482,23408243365.0,5.7,0.94
2021-04-27,941.3,932.98,954.16,915.94,-0.92,-8.64,5718639,16724085139.0,4.06,0.7
2021-04-28,935.11,943.53,959.96,917.72,1.13,10.55,5731138,18072019245.0,4.53,0.7
2021-04-29,939.13,942.69,964.6,919.29,-0.09,-0.84,6282126,18796433773.0,4.8,0.76
2021-04-30,943.36,951.84,971.62,925.49,0.97,9.15,7541403,26802124523.0,4.89,0.92
2021-05-06,949.01,950.9,972.37,927.93,-0.1,-0.94,7221396,25355219455.0,4.67,0.88
2021-05-07,952.16,939.05,972.11,924.07,-1.25,-11.85,6229021,20041148731.0,5.05,0.76
2021-05-10,935.95,932.43,955.17,910.54,-0.7,-6.62,6047648,17960996353.0,4.75,0.74
2021-05-11,928.55,922.56,941.46,902.16,-1.06,-9.87,5598558,16830663396.0,4.21,0.68
2021-05-12,918.28,934.73,946.76,908.83,1.32,12.17,5112681,12494476989.0,4.11,0.62
2021-05-13,925.3,921.88,943.9,909.98,-1.37,-12.85,5909618,12464742018.0,3.63,0.72
2021-05-14,924.78,935.45,945.71,909.32,1.47,13.57,6257984,14661530460.0,3.95,0.76
2021-05-17,935.49,949.04,967.62,920.97,1.45,13.59,7157193,20665183315.0,4.99,0.87
2021-05-18,947.04,950.86,967.4,931.97,0.19,1.82,5294928,14474959526.0,3.73,0.64
2021-05-19,950.66,965.32,978.49,936.63,1.52,14.46,6450609,18214000015.0,4.4,0.79
2021-05-20,962.79,961.62,983.59,947.5,-0.38,-3.7,5968481,16836196557.0,3.74,0.73
2021-05-21,967.76,974.59,995.49,954.28,1.35,12.97,6635468,21572841284.0,4.29,0.81
2021-05-24,971.68,974.42,990.74,952.36,-0.02,-0.17,6402440,19058904947.0,3.94,0.78
2021-05-25,971.82,974.99,986.13,954.86,0.06,0.57,6563840,21350362707.0,3.21,0.8
2021-05-26,975.77,970.34,987.47,958.58,-0.48,-4.65,5317261,16317839554.0,2.96,0.65
2021-05-27,970.93,982.65,995.71,961.12,1.27,12.31,6233948,18191117314.0,3.56,0.76
2021-05-28,980.67,986.16,1016.46,965.61,0.36,3.51,8646542,24033128554.0,5.17,1.05
2021-05-31,988.56,1030.5,1039.01,975.95,4.5,44.34,10800187,30444997664.0,6.39,1.31
2021-06-01,1029.34,1039.69,1057.37,1009.74,0.89,9.19,9086632,24400044245.0,4.62,1.11
2021-06-02,1043.06,1033.9,1072.21,1016.35,-0.56,-5.79,8694294,23589326299.0,5.37,1.06
2021-06-03,1029.39,1013.72,1048.32,998.66,-1.95,-20.18,8381691,25858173101.0,4.8,1.02
2021-06-04,1012.73,1013.32,1032.99,993.97,-0.04,-0.4,7614010,22220642338.0,3.85,0.93
2021-06-07,1017.68,1008.95,1035.31,989.09,-0.43,-4.37,9092253,22898124848.0,4.56,1.11
2021-06-08,1008.51,1003.5,1029.11,989.47,-0.54,-5.45,8642292,20104517299.0,3.93,1.05
2021-06-09,1001.45,1012.62,1026.09,987.3,0.91,9.12,8687365,17849899699.0,3.87,1.06
2021-06-10,1017.29,1073.27,1088.55,1010.83,5.99,60.65,15465379,43695553998.0,7.68,1.88
2021-06-11,1080.97,1092.02,1123.88,1059.48,1.75,18.75,16655264,47561329290.0,6.0,2.03
2021-06-15,1091.63,1092.08,1124.49,1060.09,0.01,0.06,11909150,30987810223.0,5.9,1.45
2021-06-16,1087.77,1054.44,1104.92,1038.97,-3.45,-37.64,10552887,29378591109.0,6.04,1.28
2021-06-17,1058.3,1079.61,1096.01,1045.48,2.39,25.17,9205363,23547623594.0,4.79,1.12
2021-06-18,1083.6,1108.38,1126.16,1068.01,2.66,28.77,11061530,29949792198.0,5.39,1.35
2021-06-21,1107.31,1149.67,1168.5,1093.2,3.73,41.29,12595862,35669105906.0,6.79,1.53
2021-06-22,1155.95,1165.41,1192.51,1127.35,1.37,15.74,11881004,29556163021.0,5.67,1.45
2021-06-23,1168.22,1177.03,1211.33,1150.32,1.0,11.62,12559875,34517140167.0,5.24,1.53
2021-06-24,1211.67,1228.28,1266.17,1177.2,4.35,51.25,18732270,45470771806.0,7.56,2.28
2021-06-25,1230.44,1243.33,1286.59,1204.93,1.23,15.05,16392462,38135780049.0,6.65,2.0
2021-06-28,1252.02,1267.79,1301.7,1229.84,1.97,24.46,11638923,33518574800.0,5.78,1.42
2021-06-29,1274.2,1324.83,1350.92,1248.88,4.5,57.04,18079302,47415222629.0,8.05,2.2
2021-06-30,1323.31,1357.07,1390.18,1287.84,2.43,32.24,18109659,39482230901.0,7.72,2.2
2021-07-01,1361.57,1317.86,1398.84,1294.93,-2.89,-39.21,18942352,41611605100.0,7.66,2.31
2021-07-02,1309.52,1313.26,1357.7,1278.91,-0.35,-4.6,15590957,39617435048.0,5.98,1.9
2021-07-05,1314.52,1348.22,1369.39,1289.63,2.66,34.96,13882493,32961185427.0,6.07,1.69
2021-07-06,1348.22,1315.95,1368.5,1279.53,-2.39,-32.27,14962624,36694940303.0,6.6,1.82
2021-07-07,1302.26,1391.91,1421.41,1282.7,5.77,75.96,17577302,47671120570.0,10.54,2.14
2021-07-08,1400.59,1406.21,1457.68,1371.16,1.03,14.3,17449684,46826865282.0,6.22,2.12
2021-07-09,1396.2,1411.89,1441.55,1352.84,0.4,5.68,15181203,39645050212.0,6.31,1.85
