日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-01-02,30040.07,30196.2,30263.9,29864.86,0.44,133.48,2662385,27932525312.0,1.33,0.87
2020-01-03,30185.25,30022.78,30185.25,29901.84,-0.57,-173.42,2065173,22639825408.0,0.94,0.67
2020-01-06,29902.92,29907.29,29996.0,29682.09,-0.38,-115.49,2076099,15968524800.0,1.05,0.68
2020-01-07,29919.83,30253.01,30254.49,29899.41,1.16,345.72,2097254,13316532736.0,1.19,0.68
2020-01-08,30131.59,29969.87,30234.05,29900.17,-0.94,-283.14,1896826,10195405824.0,1.1,0.62
2020-01-09,30068.02,30527.21,30559.59,30068.02,1.86,557.34,2293630,14919474944.0,1.64,0.75
2020-01-10,30574.28,31096.66,31191.4,30574.28,1.87,569.45,3756067,19738090496.0,2.02,1.23
2020-01-13,31082.11,31336.98,31471.25,31059.82,0.77,240.32,3485527,21540435200.0,1.32,1.14
2020-01-14,31329.96,31018.33,31330.47,30945.06,-1.02,-318.65,2500099,14288468480.0,1.23,0.82
2020-01-15,30998.16,31020.03,31343.66,30909.7,0.01,1.7,2171774,12232169472.0,1.4,0.71
2020-01-16,31048.75,31032.23,31127.69,30919.52,0.04,12.2,1701902,9332929024.0,0.67,0.56
2020-01-17,31141.08,30983.05,31220.99,30935.55,-0.16,-49.18,1798459,9665019136.0,0.92,0.59
2020-01-20,31016.48,30898.46,31031.02,30743.47,-0.27,-84.59,1954243,12405744384.0,0.93,0.64
2020-01-21,30768.78,30128.13,30768.78,30127.22,-2.49,-770.33,2322696,14507364864.0,2.08,0.76
2020-01-22,30005.02,30146.7,30228.37,29597.21,0.06,18.57,1910683,12629598720.0,2.09,0.62
2020-01-23,29973.39,29060.1,29977.95,28885.5,-3.6,-1086.6,2715334,18363091456.0,3.62,0.89
2020-02-03,26405.44,26374.8,26405.44,26345.11,-9.24,-2685.3,1329625,18009893120.0,0.21,0.43
